"Объект","Мужчины и женщины","Мужчины","Женщины","мужчины в процентах","женщины в процентах"
"село Ашага-Стал-Казмаляр","3,224","1,585","1,639","49.2","50.8"
"прочие сельские населенные пункты","2,764","1,362","1,402","49.3","50.7"
"Сельское поселение сельсовет Герейхановский","4,893","2,486","2,407","50.8","49.2"
"село Герейхановское","3,337","1,675","1,662","50.2","49.8"
"прочие сельские населенные пункты","1,556","811","745","52.1","47.9"
"Сельское поселение сельсовет Испикский","1,515","739","776","48.8","51.2"
"Сельское поселение сельсовет Карчагский","4,726","2,359","2,367","49.9","50.1"
"Сельское поселение сельсовет Касумкентский","14,266","7,154","7,112","50.1","49.9"
"село Касумкент","12,502","6,263","6,239","50.1","49.9"
"прочие сельские населенные пункты","1,764","891","873","50.5","49.5"
"Сельское поселение сельсовет Новомакинский","4,719","2,344","2,375","49.7","50.3"
"село Новая Мака","3,791","1,908","1,883","50.3","49.7"
"прочие сельские населенные пункты","928","436","492","47.0","53.0"
"Сельское поселение сельсовет Уллугатагский","2,056","1,032","1,024","50.2","49.8"
"Сельское поселение сельсовет Цмурский","1,006","522","484","51.9","48.1"
"Сельское поселение сельсовет Шихикентский","2,065","1,034","1,031","50.1","49.9"
"Табасаранский муниципальный район - сельское население","52,389","26,276","26,113","50.2","49.8"
"Сельское поселение село Гюхряг","1,245","645","600","51.8","48.2"
"Сельское поселение село Дарваг","2,891","1,482","1,409","51.3","48.7"
"Сельское поселение село Сиртич - село Сиртич","3,871","1,990","1,881","51.4","48.6"
"Сельское поселение село Чулат","1,114","556","558","49.9","50.1"
"Сельское поселение сельсовет Аракский","1,518","741","777","48.8","51.2"
"Сельское поселение сельсовет Аркитский","2,312","1,148","1,164","49.7","50.3"
"Сельское поселение сельсовет Бурганкентский","913","429","484","47.0","53.0"
"Сельское поселение сельсовет Гуминский","2,365","1,191","1,174","50.4","49.6"
"Сельское поселение сельсовет Гурикский","2,020","1,023","997","50.6","49.4"
"Сельское поселение сельсовет Джульджагский","2,585","1,295","1,290","50.1","49.9"
"Сельское поселение сельсовет Дюбекский","2,526","1,284","1,242","50.8","49.2"
"Сельское поселение сельсовет Ерсинский","1,971","978","993","49.6","50.4"
"Сельское поселение сельсовет Кужникский","3,162","1,623","1,539","51.3","48.7"
"Сельское поселение сельсовет Куркакский","1,574","807","767","51.3","48.7"
"Сельское поселение сельсовет Марагинский","2,265","1,132","1,133","50.0","50.0"
"Сельское поселение сельсовет Тинитский","1,651","758","893","45.9","54.1"
"Сельское поселение сельсовет Турагский","2,178","1,076","1,102","49.4","50.6"
"Сельское поселение сельсовет Халагский","1,517","756","761","49.8","50.2"
"Сельское поселение сельсовет Хапильский","2,186","1,103","1,083","50.5","49.5"
"Сельское поселение сельсовет Хели-Пенджинский","1,326","641","685","48.3","51.7"
"Сельское поселение сельсовет Хурикский","5,542","2,800","2,742","50.5","49.5"
"Сельское поселение сельсовет Хучнинский","5,657","2,818","2,839","49.8","50.2"
"село Хучни","3,795","1,870","1,925","49.3","50.7"
"прочие сельские населенные пункты","1,862","948","914","50.9","49.1"
"Тарумовский муниципальный район - сельское население","35,396","17,067","18,329","48.2","51.8"
"Сельское поселение село Александро-Невское","1,626","796","830","49.0","51.0"
"Сельское поселение село Карабаглы","799","379","420","47.4","52.6"
"Сельское поселение село Коктюбей","542","254","288","46.9","53.1"
"Сельское поселение село Кочубей - село Кочубей","8,265","3,990","4,275","48.3","51.7"
"Сельское поселение село Новодмитриевка","2,096","1,012","1,084","48.3","51.7"
"Сельское поселение село Новоромановка","1,322","624","698","47.2","52.8"
"Сельское поселение село Раздолье","1,375","644","731","46.8","53.2"
"Сельское поселение село Тарумовка - село Тарумовка","6,537","3,173","3,364","48.5","51.5"
"Сельское поселение сельсовет Калиновский","2,230","1,090","1,140","48.9","51.1"
"Сельское поселение сельсовет Новогеоргиевский","3,848","1,865","1,983","48.5","51.5"
"Сельское поселение сельсовет Таловский","1,667","795","872","47.7","52.3"
"Сельское поселение сельсовет Уллубиевский","2,836","1,384","1,452","48.8","51.2"
"Сельское поселение сельсовет Юрковский","2,253","1,061","1,192","47.1","52.9"
"Тляратинский муниципальный район - сельское население","23,548","11,714","11,834","49.7","50.3"
"Сельское поселение село Кутлаб","737","350","387","47.5","52.5"
"Сельское поселение сельсовет Гведышский","1,279","649","630","50.7","49.3"
"Сельское поселение сельсовет Герельский","1,385","736","649","53.1","46.9"
"Сельское поселение сельсовет Гиндибский","2,128","1,015","1,113","47.7","52.3"
"Сельское поселение сельсовет Камилухский","1,924","939","985","48.8","51.2"
"Сельское поселение сельсовет Кардибский","1,066","500","566","46.9","53.1"
"Сельское поселение сельсовет Колобский","1,639","816","823","49.8","50.2"
"Сельское поселение сельсовет Кособский","378","176","202","46.6","53.4"
"Сельское поселение сельсовет Мазадинский","799","409","390","51.2","48.8"
"Сельское поселение сельсовет Начадинский","1,019","507","512","49.8","50.2"
"Сельское поселение сельсовет Саниортинский","2,313","1,173","1,140","50.7","49.3"
"Сельское поселение сельсовет Тляратинский","3,535","1,764","1,771","49.9","50.1"
"Сельское поселение сельсовет Тохотинский","930","456","474","49.0","51.0"
"Сельское поселение сельсовет Хадияльский","745","377","368","50.6","49.4"
"Сельское поселение сельсовет Хидибский","470","226","244","48.1","51.9"
"Сельское поселение сельсовет Хиндахский","352","175","177","49.7","50.3"
"Сельское поселение сельсовет Чадаколобский","1,005","508","497","50.5","49.5"
"Сельское поселение сельсовет Чородинский","1,016","538","478","53.0","47.0"
"Сельское поселение сельсовет Шидибский","828","400","428","48.3","51.7"
"Унцукульский муниципальный район","31,331","15,173","16,158","48.4","51.6"
"Городское население","5,189","2,511","2,678","48.4","51.6"
"Сельское население","26,142","12,662","13,480","48.4","51.6"
"Городское поселение поселок Шамилькала - городское население - пгт Шамилькала","5,189","2,511","2,678","48.4","51.6"
"Сельское поселение село Ашильта - сельское население","1,842","897","945","48.7","51.3"
"Сельское поселение село Гимры - сельское население - село Гимры","5,168","2,525","2,643","48.9","51.1"
"Сельское поселение село Ирганай - сельское население","2,366","1,120","1,246","47.3","52.7"
"Сельское поселение село Харачи - сельское население","410","217","193","52.9","47.1"
"Сельское поселение село Цатаних - сельское население","857","422","435","49.2","50.8"
"Сельское поселение сельсовет Араканский - сельское население","1,679","799","880","47.6","52.4"
"Сельское поселение сельсовет Балаханский - сельское население","2,503","1,194","1,309","47.7","52.3"
"Сельское поселение сельсовет Иштибуринский - сельское население","501","251","250","50.1","49.9"
"Сельское поселение сельсовет Кахабросинский - сельское население","959","470","489","49.0","51.0"
"Сельское поселение сельсовет Майданский - сельское население","3,146","1,550","1,596","49.3","50.7"
"село Майданское","3,065","1,513","1,552","49.4","50.6"
"прочие сельские населенные пункты","81","37","44","45.7","54.3"
"Сельское поселение сельсовет Унцукульский - сельское население","6,711","3,217","3,494","47.9","52.1"
"село Унцукуль","6,641","3,184","3,457","47.9","52.1"
"прочие сельские населенные пункты","70","33","37","47.1","52.9"
"Хасавюртовский муниципальный район - сельское население","171,336","84,033","87,303","49.0","51.0"
"Сельское поселение село Аджимажагатюрт","1,371","642","729","46.8","53.2"
"Сельское поселение село Акбулатюрт","1,057","493","564","46.6","53.4"
"Сельское поселение село Аксай - село Аксай","11,380","5,616","5,764","49.3","50.7"
"Сельское поселение село Бамматюрт - село Бамматюрт","4,502","2,233","2,269","49.6","50.4"
"Сельское поселение село Баташюрт - село Баташюрт","4,268","2,017","2,251","47.3","52.7"
"Сельское поселение село Борагангечув","2,027","1,002","1,025","49.4","50.6"
"Сельское поселение село Дзержинское","2,357","1,141","1,216","48.4","51.6"
"Сельское поселение село Кандаураул","2,192","1,127","1,065","51.4","48.6"
"Сельское поселение село Куруш - село Куруш","7,090","3,504","3,586","49.4","50.6"
"Сельское поселение село Моксоб","525","265","260","50.5","49.5"
"Сельское поселение село Муцалаул - село Муцалаул","8,530","4,097","4,433","48.0","52.0"
"Сельское поселение село Новогагатли - село Новогагатли","5,956","2,965","2,991","49.8","50.2"
"Сельское поселение село Новососитли","2,345","1,186","1,159","50.6","49.4"
"Сельское поселение село Новый Костек - село Новый Костек","5,502","2,669","2,833","48.5","51.5"
"Сельское поселение село Нурадилово - село Нурадилово","5,247","2,567","2,680","48.9","51.1"
"Сельское поселение село Первомайское","1,379","713","666","51.7","48.3"
"Сельское поселение село Садовое","1,108","533","575","48.1","51.9"
"Сельское поселение село Сиух - село Сиух","4,567","2,264","2,303","49.6","50.4"
"Сельское поселение село Советское","1,551","752","799","48.5","51.5"
"Сельское поселение село Солнечное - село Солнечное","5,495","2,690","2,805","49.0","51.0"
"Сельское поселение село Сулевкент","2,311","1,155","1,156","50.0","50.0"
"Сельское поселение село Теречное","1,627","806","821","49.5","50.5"
"Сельское поселение село Тотурбийкала - село Тотурбийкала","3,724","1,787","1,937","48.0","52.0"
"Сельское поселение село Тукита","1,320","666","654","50.5","49.5"
"Сельское поселение село Хамавюрт - село Хамавюрт","3,644","1,750","1,894","48.0","52.0"
"Сельское поселение село Цияб Ичичали","2,462","1,187","1,275","48.2","51.8"
"Сельское поселение село Чагаротар","2,041","988","1,053","48.4","51.6"
"Сельское поселение село Шагада","1,534","724","810","47.2","52.8"
"Сельское поселение село Эндирей - село Эндирей","9,373","4,648","4,725","49.6","50.4"
"Сельское поселение сельсовет Адильотарский","3,125","1,538","1,587","49.2","50.8"
"Сельское поселение сельсовет Байрамаульский","4,295","2,122","2,173","49.4","50.6"
"село Байрамаул","3,666","1,791","1,875","48.9","51.1"
"прочие сельские населенные пункты","629","331","298","52.6","47.4"
"Сельское поселение сельсовет Батаюртовский","7,314","3,528","3,786","48.2","51.8"
"село Батаюрт","6,484","3,125","3,359","48.2","51.8"
"прочие сельские населенные пункты","830","403","427","48.6","51.4"
"Сельское поселение сельсовет Казмааульский","2,444","1,260","1,184","51.6","48.4"
"Сельское поселение сельсовет Карланюртовский","4,591","2,226","2,365","48.5","51.5"
"село Карланюрт","3,957","1,910","2,047","48.3","51.7"
"прочие сельские населенные пункты","634","316","318","49.8","50.2"
"Сельское поселение сельсовет Кокрекский","7,401","3,697","3,704","50.0","50.0"
"село Кокрек","5,168","2,560","2,608","49.5","50.5"
"прочие сельские населенные пункты","2,233","1,137","1,096","50.9","49.1"
"Сельское поселение сельсовет Костекский","7,872","3,924","3,948","49.8","50.2"
"село Костек","6,394","3,164","3,230","49.5","50.5"
"прочие сельские населенные пункты","1,478","760","718","51.4","48.6"
"Сельское поселение сельсовет Могилевский","7,420","3,658","3,762","49.3","50.7"
"село Петраковское","4,467","2,210","2,257","49.5","50.5"
"прочие сельские населенные пункты","2,953","1,448","1,505","49.0","51.0"
"Сельское поселение сельсовет Новосельский","3,922","1,938","1,984","49.4","50.6"
"село Новосельское","3,280","1,623","1,657","49.5","50.5"
"прочие сельские населенные пункты","642","315","327","49.1","50.9"
"Сельское поселение сельсовет Октябрьский","2,194","1,069","1,125","48.7","51.3"
"Сельское поселение сельсовет Османюртовский","3,825","1,871","1,954","48.9","51.1"
"Сельское поселение сельсовет Покровский","5,376","2,543","2,833","47.3","52.7"
"село Покровское","5,053","2,397","2,656","47.4","52.6"
"прочие сельские населенные пункты","323","146","177","45.2","54.8"
"Сельское поселение сельсовет Темираульский","5,072","2,472","2,600","48.7","51.3"
"село Темираул","4,213","2,040","2,173","48.4","51.6"
"прочие сельские населенные пункты","859","432","427","50.3","49.7"
"Хивский муниципальный район - сельское население","20,848","10,477","10,371","50.3","49.7"
"Сельское поселение село Зильдик","524","263","261","50.2","49.8"
"Сельское поселение село Куг","793","400","393","50.4","49.6"
"Сельское поселение село Новый Фриг","1,776","919","857","51.7","48.3"
"Сельское поселение село Хив","2,828","1,383","1,445","48.9","51.1"
"Сельское поселение село Цнал","655","347","308","53.0","47.0"
"Сельское поселение сельсовет Ашага-Архитский","1,776","853","923","48.0","52.0"
"Сельское поселение сельсовет Ашага-Яракский","1,692","879","813","52.0","48.0"
"Сельское поселение сельсовет Захитский","1,105","567","538","51.3","48.7"
"Сельское поселение сельсовет Кондикский","1,948","978","970","50.2","49.8"
"Сельское поселение сельсовет Концильский","508","252","256","49.6","50.4"
"Сельское поселение сельсовет Кошкентский","1,537","780","757","50.7","49.3"
"Сельское поселение сельсовет Ляхлинский","890","442","448","49.7","50.3"
"Сельское поселение сельсовет Межгюльский","1,333","677","656","50.8","49.2"
"Сельское поселение сельсовет Ургинский","798","410","388","51.4","48.6"
"Сельское поселение сельсовет Хореджский","1,107","553","554","50.0","50.0"
"Сельское поселение сельсовет Чувекский","1,578","774","804","49.0","51.0"
"Хунзахский муниципальный район - сельское население","31,199","15,374","15,825","49.3","50.7"
"Сельское поселение село Буцра","1,447","715","732","49.4","50.6"
"Сельское поселение село Гацалух","461","220","241","47.7","52.3"
"Сельское поселение село Мочох","458","223","235","48.7","51.3"
"Сельское поселение село Мушули","467","210","257","45.0","55.0"
"Сельское поселение село Оркачи","407","204","203","50.1","49.9"
"Сельское поселение село Орота","1,665","838","827","50.3","49.7"
"Сельское поселение село Харахи","1,260","604","656","47.9","52.1"
"Сельское поселение село Цада","431","219","212","50.8","49.2"
"Сельское поселение село Шотода","391","184","207","47.1","52.9"
"Сельское поселение сельсовет Амиштинский","507","242","265","47.7","52.3"
"Сельское поселение сельсовет Амущинский","1,569","768","801","48.9","51.1"
"Сельское поселение сельсовет Ахалчинский","1,473","768","705","52.1","47.9"
"Сельское поселение сельсовет Батлаичский","1,721","794","927","46.1","53.9"
"Сельское поселение сельсовет Гоцатлинский","2,842","1,388","1,454","48.8","51.2"
"Сельское поселение сельсовет Ободинский","1,351","669","682","49.5","50.5"
"Сельское поселение сельсовет Очлинский","894","461","433","51.6","48.4"
"Сельское поселение сельсовет Самилахский ","1,450","698","752","48.1","51.9"
"Сельское поселение сельсовет Сиухский","400","196","204","49.0","51.0"
"Сельское поселение сельсовет Танусинский","1,013","525","488","51.8","48.2"
"Сельское поселение сельсовет Тлайлухский","922","475","447","51.5","48.5"
"Сельское поселение сельсовет Уздалросинский","1,651","859","792","52.0","48.0"
"Сельское поселение сельсовет Хариколинский","1,320","656","664","49.7","50.3"
"Сельское поселение сельсовет Хиндахский","1,036","516","520","49.8","50.2"
"Сельское поселение сельсовет Хунзахский","6,063","2,942","3,121","48.5","51.5"
"село Хунзах","4,143","1,966","2,177","47.5","52.5"
"прочие сельские населенные пункты","1,920","976","944","50.8","49.2"
"Цумадинский муниципальный район - сельское население","26,692","13,345","13,347","50.0","50.0"
"Сельское поселение село Агвали - село Агвали","3,030","1,516","1,514","50.0","50.0"
"Сельское поселение село Гакко","378","200","178","52.9","47.1"
"Сельское поселение село Кеди","775","406","369","52.4","47.6"
"Сельское поселение село Метрада","680","341","339","50.1","49.9"
"Сельское поселение село Саситли","364","180","184","49.5","50.5"
"Сельское поселение село Сильди","238","125","113","52.5","47.5"
"Сельское поселение село Тисси","662","307","355","46.4","53.6"
"Сельское поселение село Тлондода","575","262","313","45.6","54.4"
"Сельское поселение село Хушет","969","447","522","46.1","53.9"
"Сельское поселение сельсовет Верхнегакваринский","643","325","318","50.5","49.5"
"Сельское поселение сельсовет Гадиринский","643","311","332","48.4","51.6"
"Сельское поселение сельсовет Гигатлинский","1,682","848","834","50.4","49.6"
"Сельское поселение сельсовет Инхокваринский","782","369","413","47.2","52.8"
"Сельское поселение сельсовет Кванадинский","1,414","719","695","50.8","49.2"
"Сельское поселение сельсовет Кочалинский","999","495","504","49.5","50.5"
"Сельское поселение сельсовет Нижнегакваринский","869","435","434","50.1","49.9"
"Сельское поселение сельсовет Нижнехваршининский","754","394","360","52.3","47.7"
"Сельское поселение сельсовет Тиндинский","3,813","1,947","1,866","51.1","48.9"
"Сельское поселение сельсовет Хваршинский","1,057","509","548","48.2","51.8"
"Сельское поселение сельсовет Хуштадинский","2,341","1,132","1,209","48.4","51.6"
"Сельское поселение сельсовет Цумадинский","606","306","300","50.5","49.5"
"Сельское поселение сельсовет Шавинский ","2,218","1,146","1,072","51.7","48.3"
"Сельское поселение сельсовет Эчединский","1,200","625","575","52.1","47.9"
"Цунтинский муниципальный район - сельское население","20,865","10,310","10,555","49.4","50.6"
"Сельское поселение село Тлядал Бежтинского участка","488","243","245","49.8","50.2"
"Сельское поселение село Хашархота Бежтинского участка","547","275","272","50.3","49.7"
"Сельское поселение сельсовет Бежтинский Бежтинского участка","4,185","1,983","2,202","47.4","52.6"
"Сельское поселение сельсовет Гунзибский Бежтинского участка","1,103","560","543","50.8","49.2"
"Сельское поселение сельсовет Качалайский Бежтинского участка","2,110","1,039","1,071","49.2","50.8"
"Сельское поселение сельсовет Кидеринский","2,286","1,151","1,135","50.3","49.7"
"Сельское поселение сельсовет Кимятлинский","1,396","676","720","48.4","51.6"
"Сельское поселение сельсовет Терутлинский","1,564","780","784","49.9","50.1"
"Сельское поселение сельсовет Тляцудинский","981","509","472","51.9","48.1"
"Сельское поселение сельсовет Хибиятлинский","1,182","588","594","49.7","50.3"
"Сельское поселение сельсовет Шаитлинский","1,380","693","687","50.2","49.8"
"Сельское поселение сельсовет Шапихский","1,232","623","609","50.6","49.4"
"Сельское поселение сельсовет Шауринский","2,411","1,190","1,221","49.4","50.6"
"Чародинский муниципальный район - сельское население","14,052","7,019","7,033","50.0","50.0"
"Сельское поселение село Мугурух","387","205","182","53.0","47.0"
"Сельское поселение село Цадах","679","325","354","47.9","52.1"
"Сельское поселение село Чарода","454","234","220","51.5","48.5"
"Сельское поселение село Шалиб","206","111","95","53.9","46.1"
"Сельское поселение сельсовет Арчибский","1,356","669","687","49.3","50.7"
"Сельское поселение сельсовет Гилибский","2,030","1,010","1,020","49.8","50.2"
"Сельское поселение сельсовет Гочадинский","861","415","446","48.2","51.8"
"Сельское поселение сельсовет Гочобский","809","378","431","46.7","53.3"
"Сельское поселение сельсовет Дусрахский","885","458","427","51.8","48.2"
"Сельское поселение сельсовет Ирибский","1,937","978","959","50.5","49.5"
"Сельское поселение сельсовет Магарский","1,524","806","718","52.9","47.1"
"Сельское поселение сельсовет Суметинский","683","353","330","51.7","48.3"
"Сельское поселение сельсовет Цурибский","2,241","1,077","1,164","48.1","51.9"
"Шамильский муниципальный район - сельское население","30,426","15,091","15,335","49.6","50.4"
"Сельское поселение село Андых","984","486","498","49.4","50.6"
"Сельское поселение село Ассаб","1,591","815","776","51.2","48.8"
"Сельское поселение село Верхний Батлух","540","258","282","47.8","52.2"
"Сельское поселение село Гента","645","323","322","50.1","49.9"
"Сельское поселение село Гоготль","530","257","273","48.5","51.5"
"Сельское поселение село Дагбаш","262","140","122","53.4","46.6"
"Сельское поселение село Мачада","801","414","387","51.7","48.3"
"Сельское поселение село Могох","451","225","226","49.9","50.1"
"Сельское поселение село Ратлуб","898","469","429","52.2","47.8"
"Сельское поселение село Тлянуб","294","151","143","51.4","48.6"
"Сельское поселение село Уриб","536","274","262","51.1","48.9"
"Сельское поселение село Хебда","2,007","998","1,009","49.7","50.3"
"Сельское поселение село Хотода","1,037","500","537","48.2","51.8"
"Сельское поселение село Хучада","435","199","236","45.7","54.3"
"Сельское поселение село Цекоб","394","212","182","53.8","46.2"
"Сельское поселение сельсовет Батлухский","2,160","1,062","1,098","49.2","50.8"
"Сельское поселение сельсовет Голотлинский","1,851","919","932","49.6","50.4"
"Сельское поселение сельсовет Гоорский","894","428","466","47.9","52.1"
"Сельское поселение сельсовет Кахибский","2,339","1,105","1,234","47.2","52.8"
"Сельское поселение сельсовет Куанибский","893","424","469","47.5","52.5"
"Сельское поселение сельсовет Ругельдинский","1,345","639","706","47.5","52.5"
"Сельское поселение сельсовет Телетлинский","3,647","1,889","1,758","51.8","48.2"
"село Телетль","3,313","1,729","1,584","52.2","47.8"
"прочие сельские населенные пункты","334","160","174","47.9","52.1"
"Сельское поселение сельсовет Тидибский","1,764","871","893","49.4","50.6"
"Сельское поселение сельсовет Тогохский","1,426","722","704","50.6","49.4"
"Сельское поселение сельсовет Урадинский","2,702","1,311","1,391","48.5","51.5"
"Республика Ингушетия","509,541","253,561","255,980","49.8","50.2"
"Городское население","279,216","139,160","140,056","49.8","50.2"
"Сельское население","230,325","114,401","115,924","49.7","50.3"
"Городской округ Магас - городское население - г. Магас","15,271","7,908","7,363","51.8","48.2"
"Городской округ город Сунжа - городское население - город Сунжа","62,078","29,990","32,088","48.3","51.7"
"Городской округ Карабулак - городское население - г. Карабулак","43,037","21,151","21,886","49.1","50.9"
"Городской округ Малгобек - городское население - г. Малгобек","36,480","18,373","18,107","50.4","49.6"
"Городской округ Назрань - городское население - г. Назрань","122,350","61,738","60,612","50.5","49.5"
"внутригородские округа","","","","",""
"Альтиевский административный округ","9,947","5,545","4,402","55.7","44.3"
"Гамурзиевский административный округ","12,563","6,297","6,266","50.1","49.9"
"Насыр-Кортский административный округ","28,782","14,160","14,622","49.2","50.8"
"Центральный административный округ","71,058","35,736","35,322","50.3","49.7"
"Джейрахский муниципальный район - сельское население","3,620","1,850","1,770","51.1","48.9"
"Сельское поселение Бейни","207","104","103","50.2","49.8"
"Сельское поселение Гули","431","211","220","49.0","51.0"
"Сельское поселение Джейрах","2,260","1,165","1,095","51.5","48.5"
"Сельское поселение Ляжги","317","160","157","50.5","49.5"
"Сельское поселение Ольгети","405","210","195","51.9","48.1"
"Малгобекский муниципальный район - сельское население","59,494","29,512","29,982","49.6","50.4"
"Сельское поселение Аки-Юрт","1,544","748","796","48.4","51.6"
"Сельское поселение Вежарий","722","357","365","49.4","50.6"
"Сельское поселение Верхние Ачалуки - Верхние Ачалуки","8,506","4,272","4,234","50.2","49.8"
"Сельское поселение Вознесенское","759","378","381","49.8","50.2"
"Сельское поселение Зязиков-Юрт - село Зязиков-Юрт","4,653","2,210","2,443","47.5","52.5"
"Сельское поселение Инарки - село Инарки","7,383","3,696","3,687","50.1","49.9"
"Сельское поселение Нижние Ачалуки - село Нижние Ачалуки","4,985","2,479","2,506","49.7","50.3"
"Сельское поселение Новый Редант - село Новый Редант","6,284","3,016","3,268","48.0","52.0"
"Сельское поселение Пседах - село Пседах","6,066","2,949","3,117","48.6","51.4"
"Сельское поселение Сагопши - село Сагопши","12,663","6,462","6,201","51.0","49.0"
"Сельское поселение Средние Ачалуки - село Средние Ачалуки","4,840","2,394","2,446","49.5","50.5"
"Сельское поселение Южное","1,089","551","538","50.6","49.4"
"Назрановский муниципальный район - сельское население","107,189","53,662","53,527","50.1","49.9"
"Сельское поселение Али-Юрт - село Али-Юрт","6,366","3,117","3,249","49.0","51.0"
"Сельское поселение Барсуки - село Барсуки","7,601","3,902","3,699","51.3","48.7"
"Сельское поселение Гази-Юрт","2,533","1,246","1,287","49.2","50.8"
"Сельское поселение Долаково","7,090","3,523","3,567","49.7","50.3"
"село Долаково","6,813","3,383","3,430","49.7","50.3"
"прочие сельские населенные пункты","277","140","137","50.5","49.5"
"Сельское поселение Кантышево - село Кантышево","16,783","8,320","8,463","49.6","50.4"
"Сельское поселение Плиево - село Плиево","16,440","8,266","8,174","50.3","49.7"
"Сельское поселение Сурхахи - село Сурхахи","13,153","6,437","6,716","48.9","51.1"
"Сельское поселение Экажево - село Экажево","27,224","13,739","13,485","50.5","49.5"
"Сельское поселение Яндаре - село Яндаре","9,999","5,112","4,887","51.1","48.9"
"Сунженский муниципальный район - сельское население","60,022","29,377","30,645","48.9","51.1"
"Сельское поселение  Аршты","1,473","715","758","48.5","51.5"
"Сельское поселение Алкун","926","496","430","53.6","46.4"
"Сельское поселение Алхасты - село Алхасты","4,787","2,418","2,369","50.5","49.5"
"Сельское поселение Берд-Юрт","1,138","578","560","50.8","49.2"
"Сельское поселение Галашки - село Галашки","7,285","3,324","3,961","45.6","54.4"
"Сельское поселение Даттых","277","130","147","46.9","53.1"
"Сельское поселение Мужичи","2,386","1,107","1,279","46.4","53.6"
"Сельское поселение Нестеровское - станица Нестеровская","17,981","9,273","8,708","51.6","48.4"
"Сельское поселение Троицкое - станица Троицкая","23,078","10,971","12,107","47.5","52.5"
"Сельское поселение Чемульга","691","365","326","52.8","47.2"
"Кабардино-Балкарская Республика","904,200","429,062","475,138","47.5","52.5"
"Городское население","469,160","216,630","252,530","46.2","53.8"
"Сельское население","435,040","212,432","222,608","48.8","51.2"
"Городской округ Нальчик","272,766","124,800","147,966","45.8","54.2"
"Городское население - г. Нальчик","247,054","112,660","134,394","45.6","54.4"
"Сельское население","25,712","12,140","13,572","47.2","52.8"
"село Белая Речка","3,776","1,824","1,952","48.3","51.7"
"село Кенже","9,969","4,738","5,231","47.5","52.5"
"село Хасанья","9,772","4,536","5,236","46.4","53.6"
"прочие сельские населенные пункты","2,195","1,042","1,153","47.5","52.5"
"Городской округ Баксан","60,445","29,377","31,068","48.6","51.4"
"Городское население - г. Баксан","39,593","19,062","20,531","48.1","51.9"
"Сельское население - село Дыгулыбгей","20,852","10,315","10,537","49.5","50.5"
"Городской округ Прохладный - городское население - г. Прохладный","59,938","27,778","32,160","46.3","53.7"
"Баксанский муниципальный район - сельское население","64,892","32,056","32,836","49.4","50.6"
"Сельское поселение Атажукино - село Атажукино","6,101","2,974","3,127","48.7","51.3"
"Сельское поселение Баксаненок - село Баксаненок","8,531","4,294","4,237","50.3","49.7"
"Сельское поселение Верхний Куркужин - село Верхний Куркужин","3,056","1,545","1,511","50.6","49.4"
"Сельское поселение Жанхотеко","1,239","593","646","47.9","52.1"
"Сельское поселение Заюково - село Заюково","11,976","5,834","6,142","48.7","51.3"
"Сельское поселение Исламей - село Исламей","11,760","5,692","6,068","48.4","51.6"
"Сельское поселение Кишпек - село Кишпек","4,917","2,641","2,276","53.7","46.3"
"Сельское поселение Кременчуг-Константиновское ","1,631","807","824","49.5","50.5"
"Сельское поселение Куба - село Куба","5,161","2,589","2,572","50.2","49.8"
"Сельское поселение Куба-Таба - село Куба-Таба","3,134","1,474","1,660","47.0","53.0"
"Сельское поселение Нижний Куркужин - село Нижний Куркужин","3,601","1,774","1,827","49.3","50.7"
"Сельское поселение Псыхурей","2,797","1,399","1,398","50.0","50.0"
"Сельское поселение Псычох","988","440","548","44.5","55.5"
"Зольский муниципальный район - сельское население","50,628","24,353","26,275","48.1","51.9"
"Городское поселение Залукокоаже - п. Залукокоаже","9,849","4,545","5,304","46.1","53.9"
"Сельское поселение Белокаменское ","624","298","326","47.8","52.2"
"Сельское поселение Залукодес","1,896","949","947","50.1","49.9"
"Сельское поселение Зольское ","1,412","667","745","47.2","52.8"
"Сельское поселение Каменномостское  - село Каменномостское","6,040","2,926","3,114","48.4","51.6"
"Сельское поселение Камлюково","2,328","1,147","1,181","49.3","50.7"
"Сельское поселение Кичмалка","1,581","795","786","50.3","49.7"
"Сельское поселение Малка - село Малка","7,143","3,436","3,707","48.1","51.9"
"Сельское поселение Приречное ","1,130","569","561","50.4","49.6"
"Сельское поселение Псынадаха","2,894","1,394","1,500","48.2","51.8"
"Сельское поселение Сармаково - село Сармаково","8,498","4,079","4,419","48.0","52.0"
"Сельское поселение Светловодское ","2,208","1,063","1,145","48.1","51.9"
"Сельское поселение Совхозное ","706","337","369","47.7","52.3"
"Сельское поселение Хабаз","1,793","900","893","50.2","49.8"
"Сельское поселение Шордаково","1,747","871","876","49.9","50.1"
"Сельское поселение Этоко","779","377","402","48.4","51.6"
"Лескенский муниципальный район - сельское население","30,763","15,186","15,577","49.4","50.6"
"Сельское поселение Анзорей - село Анзорей","7,631","3,773","3,858","49.4","50.6"
"Сельское поселение Аргудан - село Аргудан","8,910","4,326","4,584","48.6","51.4"
"Сельское поселение Верхний Лескен","171","82","89","48.0","52.0"
"Сельское поселение Второй Лескен","2,474","1,267","1,207","51.2","48.8"
"Сельское поселение Ерокко","898","426","472","47.4","52.6"
"Сельское поселение Озрек","1,560","755","805","48.4","51.6"
